,title,artist,release,metascore,userscore
0,Map of the Soul: 7,by BTS,"February 21, 2020",82,9.4
1,SuperGood,by Duckwrth,"August 21, 2020",81,9.3
2,The Marshall Mathers LP,by Eminem,"May 23, 2000",78,9.0
3,The Eminem Show,by Eminem,"May 28, 2002",75,9.0
4,RTJ4,by Run the Jewels,"June 3, 2020",89,8.9
5,No Pressure,by Logic,"July 24, 2020",78,8.9
6,"Song Machine, Season One: Strange Timez",by Gorillaz,"October 23, 2020",81,8.9
7,To Pimp A Butterfly,by Kendrick Lamar,"March 16, 2015",96,8.8
8,"Good Kid, M.A.A.D City",by Kendrick Lamar,"October 22, 2012",91,8.8
9,IGOR,"by Tyler, The Creator","May 17, 2019",81,8.8
10,Madvillainy,by Madvillain,"March 23, 2004",93,8.8
11,Flower Boy,"by Tyler, The Creator","July 21, 2017",84,8.8
12,Demon Days,by Gorillaz,"May 24, 2005",82,8.8
13,RTJ2,by Run the Jewels,"October 27, 2014",89,8.8
14,Stankonia,by Outkast,"October 31, 2000",95,8.8
15,Run the Jewels 3,by Run the Jewels,"December 25, 2016",88,8.8
16,Man On The Moon: The End Of Day,by Kid Cudi,"September 15, 2009",71,8.8
17,The Money Store,by Death Grips,"April 24, 2012",81,8.8
18,We Got It From Here...Thank You 4 Your Service,by A Tribe Called Quest,"November 11, 2016",91,8.8
19,The Cool,by Lupe Fiasco,"December 18, 2007",77,8.8
20,Illmatic XX [20th Anniversary Edition],by Nas,"April 15, 2014",89,8.8
21,TA13OO,by Denzel Curry,"September 21, 2018",86,8.8
22,Food & Liquor,by Lupe Fiasco,"September 19, 2006",83,8.8
23,Boy In Da Corner,by Dizzee Rascal,"January 20, 2004",92,8.8
24,Sir Lucious Left Foot: The Son of Chico Dusty,by Big Boi,"July 6, 2010",90,8.8
25,Care For Me,by Saba,"April 5, 2018",93,8.8
26,MM..Food,by MF Doom,"November 16, 2004",81,8.8
27,Rage Against the Machine XX [20th Anniversary Edition],by Rage Against the Machine,"November 27, 2012",87,8.8
28,Don't Look Down,by Skylar Grey,"July 9, 2013",58,8.8
29,Grand Champ,by DMX,"September 16, 2003",58,8.8
30,Hamilton: An American Musical [Original Broadway Cast Recording],by Lin-Manuel Miranda,"October 16, 2015",85,8.8
31,Telefone [Mixtape],by Noname,"July 31, 2016",84,8.8
32,OST,by 8 Mile (Eminem),"October 29, 2002",74,8.8
33,Troubadour,by K'NAAN,"February 24, 2009",74,8.8
34,Joyful Rebellion,by k-os,"September 21, 2004",75,8.8
35,Us,by Brother Ali,"September 22, 2009",83,8.8
36,Sexorcism,by Brooke Candy,"October 25, 2019",55,8.8
37,The Shining,by J Dilla aka Jay Dee,"August 22, 2006",80,8.8
38,Shine,by Estelle,"April 29, 2008",73,8.8
39,Restless,by Xzibit,"December 12, 2000",75,8.8
40,Yell Fire!,by Michael Franti & Spearhead,"July 25, 2006",64,8.8
41,The Truth Is Here [EP],by Brother Ali,"March 10, 2009",86,8.8
42,A Dream Deferred,by Skyzoo,"October 9, 2012",85,8.8
43,Gutter Tactics,by Dälek,"January 27, 2009",74,8.8
44,Gas Mask,by The Left,"October 26, 2010",87,8.8
45,Expansion Team,by Dilated Peoples,"October 23, 2001",71,8.8
46,8 Million Stories,by Soul Position,"October 7, 2003",82,8.8
47,Burner,by Odd Nosdam,"June 14, 2005",81,8.8
48,I Heard It Today,by Mr. Lif,"April 21, 2009",70,8.8
49,Fish Outta Water,by Chali 2na,"July 7, 2009",70,8.8
50,DJ-Kicks: DJ Koze,by DJ Koze,"June 15, 2015",81,8.8
51,Descendants of Cain,by Ka,"May 1, 2020",85,8.8
52,Atrocity Exhibition,by Danny Brown,"September 27, 2016",85,8.7
53,Speakerboxxx/The Love Below,by Outkast,"September 23, 2003",91,8.7
54,Acid Rap,by Chance the Rapper,"April 30, 2013",86,8.7
55,Gorillaz,by Gorillaz,"June 19, 2001",71,8.7
56,The Blueprint,by Jay-Z,"September 11, 2001",88,8.7
57,1991 [EP],by Azealia Banks,"June 12, 2012",84,8.7
58,The Search,by NF,"July 26, 2019",58,8.7
59,The Black Album,by Jay-Z,"November 14, 2003",84,8.7
60,"Nostalgia, Ultra.",by Frank Ocean,"February 18, 2011",83,8.7
61,All My Heroes Are Cornballs,by JPEGMAFIA,"September 13, 2019",85,8.7
62,Nellyville,by Nelly,"June 25, 2002",70,8.7
63,Original Pirate Material,by The Streets,"October 22, 2002",90,8.7
64,Undun,by The Roots,"December 6, 2011",88,8.7
65,Exmilitary,by Death Grips,"April 27, 2011",82,8.7
66,Stillmatic,by Nas,"December 18, 2001",69,8.7
67,Hip Hop Is Dead,by Nas,"December 19, 2006",79,8.7
68,Be,by Common,"May 24, 2005",83,8.7
